Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Skill moves,Age,Nation,League,Team,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
1525,Rey Manaj,76,68,78,63,73,31,70,ST,3,27,Albania,Trendyol Süper Lig,Sivasspor,,,,,
1525,Aïssa Mandi,76,59,46,71,67,77,72,CB,2,32,Algeria,Ligue 1 McDonald's,LOSC Lille,,,,,
1525,Orel Mangala,76,69,58,72,82,72,76,CM,3,26,Belgium,Premier League,Everton,,,,,
1525,Marcano,76,47,46,60,59,78,70,CB,2,37,Spain,Liga Portugal,FC Porto,,,,,
1525,Mika Mármol,76,80,38,67,73,76,74,CB,3,23,Spain,LALIGA EA SPORTS,UD Las Palmas,,,,,
1525,Óscar Valentín,76,65,47,65,64,75,76,CDM,2,30,Spain,LALIGA EA SPORTS,Rayo Vallecano,,,,,
1525,Adrián Martínez,76,68,76,58,70,41,82,ST,3,32,Argentina,Sudamericana,Racing Club,,,,,
1525,Fernando,76,75,74,74,76,48,75,GK,1,34,Spain,LALIGA HYPERMOTION,UD Almería,75.0,74.0,74.0,75.0,76.0
1525,Arthur Masuaku,76,78,61,73,78,70,79,LB,4,30,Congo DR,Trendyol Süper Lig,Beşiktaş,,,,,
1525,Clinton Mata,76,78,61,68,73,74,77,RB,3,31,Angola,Ligue 1 McDonald's,OL,,,,,
1525,Azor Matusiwa,76,51,49,65,70,74,79,CDM,3,26,Holland,Ligue 1 McDonald's,Stade Rennais FC,,,,,
1525,Mykola Matviienko,76,77,55,69,69,77,75,CB,2,28,Ukraine,Ukrayina Liha,Shakhtar Donetsk,,,,,
1525,Stephy Mavididi,76,88,75,69,76,28,74,LW,3,26,England,Premier League,Leicester City,,,,,
1525,Kevin Mbabu,76,84,51,67,71,73,78,RB,3,29,Switzerland,3F Superliga,FC Midtjylland,,,,,
1525,Melendo,76,77,67,77,78,60,60,CM,4,27,Spain,LALIGA HYPERMOTION,Cádiz CF,,,,,
1525,Miguel Ángel Merentiel,76,77,75,56,73,37,77,ST,3,28,Uruguay,Sudamericana,Boca Juniors,,,,,
1525,Quentin Merlin,76,73,59,74,75,73,64,LB,3,22,France,Ligue 1 McDonald's,OM,,,,,
1525,Thomas Meunier,76,68,74,72,71,74,82,RB,3,33,Belgium,Ligue 1 McDonald's,LOSC Lille,,,,,
1525,Yerry Mina,76,32,50,55,56,77,77,CB,2,29,Colombia,Serie A Enilive,Cagliari,,,,,
1525,João Paulo,76,65,69,76,75,72,77,CDM,3,33,Brazil,MLS,Sounders FC,,,,,
1525,Miranda,76,84,62,71,74,73,68,LB,3,24,Spain,Serie A Enilive,Bologna,,,,,
1525,Álvaro Montero,76,75,74,69,76,43,79,GK,1,29,Colombia,Libertadores,Millonarios,75.0,74.0,69.0,79.0,76.0
1525,Gonzalo Montiel,76,80,62,69,74,72,74,RB,3,27,Argentina,LALIGA EA SPORTS,Sevilla FC,,,,,
1525,Morales,76,78,80,74,78,52,67,ST,4,37,Spain,LALIGA HYPERMOTION,Levante UD,,,,,
1525,Alberto Moreno,76,79,69,73,76,71,68,LB,3,32,Spain,Serie A Enilive,Como,,,,,
1525,Sam Morsy,76,57,61,67,69,72,81,CDM,2,33,Egypt,Premier League,Ipswich,,,,,
1525,Dany Mota,76,78,76,66,78,31,63,ST,3,26,Portugal,Serie A Enilive,Monza,,,,,
1525,Harold Moukoudi,76,49,35,52,54,76,86,CB,2,26,Cameroon,Hellas Liga,AEK Athens,,,,,
1525,Steve Mounié,76,63,75,64,71,45,79,ST,2,29,Benin,Bundesliga,FC Augsburg,,,,,
1525,Marshall Munetsi,76,69,69,71,72,73,80,CM,3,28,Zimbabwe,Ligue 1 McDonald's,Stade de Reims,,,,,
1525,Jacob Murphy,76,82,70,71,78,61,69,RW,3,29,England,Premier League,Newcastle Utd,,,,,
1525,Petar Musa,76,82,75,62,71,41,81,ST,3,26,Croatia,MLS,FC Dallas,,,,,
1525,Fran Navarro,76,75,77,57,73,41,76,ST,3,26,Spain,Liga Portugal,FC Porto,,,,,
1525,Youssouf Ndayishimiye,76,70,49,68,72,76,80,CDM,2,25,Burundi,Ligue 1 McDonald's,OGC Nice,,,,,
1525,Tanguy Ndombele,76,62,70,77,83,68,68,CM,4,27,France,Ligue 1 McDonald's,OGC Nice,,,,,
1525,Florian Neuhaus,76,67,71,74,77,66,69,CM,4,27,Germany,Bundesliga,M'gladbach,,,,,
1525,Sikou Niakaté,76,72,39,51,64,77,80,CB,2,25,Mali,Liga Portugal,SC Braga,,,,,
1525,Moussa Niakhaté,76,68,42,62,63,76,76,CB,2,28,Senegal,Ligue 1 McDonald's,OL,,,,,
1525,Rasmus Nicolaisen,76,49,41,57,60,76,80,CB,2,27,Denmark,Ligue 1 McDonald's,Toulouse FC,,,,,
1525,Eddie Nketiah,76,79,74,58,78,25,66,ST,3,25,England,Premier League,Crystal Palace,,,,,
1525,Anthony Nwakaeme,76,74,76,73,78,39,79,ST,4,35,Nigeria,Trendyol Süper Lig,Trabzonspor,,,,,
1525,Ørjan Nyland,76,76,75,77,75,47,74,GK,1,34,Norway,LALIGA EA SPORTS,Sevilla FC,76.0,75.0,77.0,74.0,75.0
1525,Odriozola,76,80,55,69,74,72,65,RB,3,28,Spain,LALIGA EA SPORTS,Real Sociedad,,,,,
1525,Nick Olij,76,82,74,62,78,50,73,GK,1,29,Holland,Eredivisie,Sparta Rotterdam,82.0,74.0,62.0,73.0,78.0
1525,Paul Ebere Onuachu,76,60,77,59,65,45,82,ST,3,30,Nigeria,Premier League,Southampton,,,,,
1525,Bright Osayi-Samuel,76,93,58,63,78,68,82,RB,3,26,Nigeria,Trendyol Süper Lig,Fenerbahçe,,,,,
1525,Salih Özcan,76,71,59,68,74,76,79,CDM,2,26,Turkey,Bundesliga,VfL Wolfsburg,,,,,
1525,Filip Panák,76,70,53,69,73,76,77,CB,3,28,Czech Republic,Česká Liga,Sparta Praha,,,,,
1525,Fabiano Parisi,76,77,67,70,77,72,73,LB,2,23,Italy,Serie A Enilive,Fiorentina,,,,,
1525,Strahinja Pavlović,76,70,43,51,64,75,84,CB,2,23,Serbia,Serie A Enilive,Milano FC,,,,,
1525,Carles Pérez,76,80,74,70,80,37,63,RM,4,26,Spain,LALIGA EA SPORTS,Getafe CF,,,,,
1525,Portu,76,82,77,73,76,56,76,RM,3,32,Spain,LALIGA EA SPORTS,Girona FC,,,,,
1525,Beñat Prados,76,70,62,74,76,75,76,CM,2,23,Spain,LALIGA EA SPORTS,Athletic Club,,,,,
1525,Grischa Prömel,76,64,73,70,73,75,80,CM,3,29,Germany,Bundesliga,TSG Hoffenheim,,,,,
1525,Robin Pröpper,76,53,53,62,57,77,79,CB,2,30,Holland,Scottish Prem,Rangers,,,,,
1525,Eduardo Quaresma,76,78,36,64,74,76,74,CB,3,22,Portugal,Liga Portugal,Sporting CP,,,,,
1525,Cryzan,76,81,76,69,75,25,79,ST,3,28,Brazil,CSL,Shandong Taishan,,,,,
1525,Raíllo,76,41,36,55,55,78,77,CB,2,32,Spain,LALIGA EA SPORTS,RCD Mallorca,,,,,
1525,Pepe Reina,76,75,75,77,74,45,77,GK,1,42,Spain,Serie A Enilive,Como,75.0,75.0,77.0,77.0,74.0
1525,Luiz Júnior,76,76,75,69,77,30,76,GK,1,23,Brazil,LALIGA EA SPORTS,Villarreal CF,76.0,75.0,69.0,76.0,77.0
1525,Mateo Retegui,76,72,76,64,70,35,77,ST,3,25,Italy,Serie A Enilive,Bergamo Calcio,,,,,
1525,Chris Richards,76,71,27,59,61,76,74,CB,2,24,United States,Premier League,Crystal Palace,,,,,
1525,Manuel Riemann,76,75,71,80,81,52,76,GK,1,36,Germany,Bundesliga,VfL Bochum 1848,75.0,71.0,80.0,76.0,81.0
1525,Lucas Robertone,76,79,73,76,76,71,72,CM,4,27,Argentina,LALIGA HYPERMOTION,UD Almería,,,,,
1525,Igor Thiago,76,73,75,54,69,37,86,ST,2,23,Brazil,Premier League,Brentford,,,,,
1525,Morato,76,68,37,57,61,76,82,CB,2,23,Brazil,Premier League,Nott'm Forest,,,,,
1525,Pedro,76,64,72,74,84,36,50,RW,4,37,Spain,Serie A Enilive,Latium,,,,,
1525,Dani Rodríguez,76,81,74,75,73,63,69,LM,3,36,Spain,LALIGA EA SPORTS,RCD Mallorca,,,,,
1525,Marcos Rojo,76,53,60,66,63,76,77,CB,3,34,Argentina,Sudamericana,Boca Juniors,,,,,
1525,Vitor Roque,76,85,79,59,80,20,64,ST,4,19,Brazil,LALIGA EA SPORTS,Real Betis,,,,,
1525,Daniele Rugani,76,49,40,55,62,78,69,CB,2,30,Italy,Eredivisie,Ajax,,,,,
1525,Aitor Ruibal,76,84,74,70,75,72,68,RB,3,28,Spain,LALIGA EA SPORTS,Real Betis,,,,,
1525,Abel Ruiz,76,77,76,70,76,39,71,ST,4,24,Spain,LALIGA EA SPORTS,Girona FC,,,,,
1525,Michal Sadílek,76,56,65,74,72,72,78,CDM,3,25,Czech Republic,Eredivisie,FC Twente,,,,,
1525,Ismael Saibari,76,81,69,72,79,47,76,CAM,4,23,Morocco,Eredivisie,PSV,,,,,
1525,Fashion Sakala,76,91,76,63,75,32,66,ST,3,27,Zambia,ROSHN Saudi League,Al Fayha,,,,,
1525,Mohammed Salisu,76,63,36,50,54,77,79,CB,2,25,Ghana,Ligue 1 McDonald's,AS Monaco,,,,,
1525,Philippe Sandler,76,70,44,69,71,76,72,CB,3,27,Holland,Eredivisie,N.E.C. Nijmegen,,,,,
1525,Morgan Sanson,76,65,73,77,76,70,74,CM,4,30,France,Ligue 1 McDonald's,OGC Nice,,,,,
1525,Michael Santos,76,76,77,66,76,41,76,ST,3,31,Uruguay,Primera División,Vélez Sarsfield,,,,,
1525,Danilo,76,68,63,69,73,73,70,CDM,2,23,Brazil,Premier League,Nott'm Forest,,,,,
1525,Fábio Martins,76,76,73,71,81,46,70,LM,4,31,Portugal,ROSHN Saudi League,Al Khaleej,,,,,
1525,Ismaïla Sarr,76,91,76,66,79,22,68,RW,4,26,Senegal,Premier League,Crystal Palace,,,,,
1525,Antoine Semenyo,76,85,72,67,77,27,75,RM,3,24,Ghana,Premier League,AFC Bournemouth,,,,,
1525,Tuta,76,70,49,64,71,76,76,CB,2,25,Brazil,Bundesliga,Frankfurt,,,,,
1525,Marco Silvestri,76,76,76,60,78,59,78,GK,1,33,Italy,Serie BKT,Sampdoria,76.0,76.0,60.0,78.0,78.0
1525,Moses Simon,76,89,69,70,80,33,61,LM,4,29,Nigeria,Ligue 1 McDonald's,FC Nantes,,,,,
1525,Oumar Solet,76,79,43,59,67,75,85,CB,2,24,France,Ö. Bundesliga,RB Salzburg,,,,,
1525,Manor Solomon,76,82,72,73,80,43,42,LM,4,25,Israel,EFL Championship,Leeds United,,,,,
1525,Riccardo Sottil,76,88,66,69,77,34,48,LW,4,25,Italy,Serie A Enilive,Fiorentina,,,,,
1525,Willian Arão,76,67,62,67,68,76,82,CDM,3,32,Brazil,Hellas Liga,Panathinaikos,,,,,
1525,Jindřich Staněk,76,74,71,78,78,36,76,GK,1,28,Czech Republic,Česká Liga,Slavia Praha,74.0,71.0,78.0,76.0,78.0
1525,Taras Stepanenko,76,64,58,71,69,75,77,CDM,3,35,Ukraine,Ukrayina Liha,Shakhtar Donetsk,,,,,
1525,Gabriel Strefezza,76,87,66,73,77,31,49,RW,3,27,Brazil,Serie A Enilive,Como,,,,,
1525,Cristhian Stuani,76,66,79,69,70,48,84,ST,4,37,Uruguay,LALIGA EA SPORTS,Girona FC,,,,,
1525,Alex Suárez,76,75,36,62,63,76,77,CB,2,31,Spain,LALIGA EA SPORTS,UD Las Palmas,,,,,
1525,Crysencio Summerville,76,91,71,67,79,35,60,LM,3,22,Holland,Premier League,West Ham,,,,,
1525,Adrien Tameze,76,77,66,68,77,76,77,CB,3,30,France,Serie A Enilive,Torino,,,,,
1525,Marcus Tavernier,76,77,72,71,78,60,64,LM,3,25,England,Premier League,AFC Bournemouth,,,,,
1525,David Carmo,76,49,39,58,51,77,81,CB,2,25,Angola,Hellas Liga,Olympiacos FC,,,,,
1525,Nathan Tella,76,85,70,69,79,36,59,RM,3,25,Nigeria,Bundesliga,Leverkusen,,,,,
1525,Kenny Tete,76,73,47,67,69,75,77,RB,2,28,Holland,Premier League,Fulham,,,,,
1525,Corentin Tolisso,76,55,76,74,73,74,73,CM,3,30,France,Ligue 1 McDonald's,OL,,,,,
1525,Lucas Tousart,76,65,56,65,69,76,82,CDM,2,27,France,Bundesliga,Union Berlin,,,,,
1525,Bertrand Traoré,76,76,72,72,81,45,62,RW,4,29,Burkina Faso,Eredivisie,Ajax,,,,,
1525,Manu Trigueros,76,45,72,78,73,69,62,CM,4,32,Spain,LALIGA HYPERMOTION,Granada CF,,,,,
1525,Cengiz Ünder,76,77,75,76,78,38,58,RW,4,27,Turkey,Trendyol Süper Lig,Fenerbahçe,,,,,
1525,Myrto Uzuni,76,81,76,70,80,32,66,ST,4,29,Albania,LALIGA HYPERMOTION,Granada CF,,,,,
1525,Branco van den Boomen,76,51,75,83,69,64,72,CM,3,29,Holland,Eredivisie,Ajax,,,,,
1525,Jan Paul van Hecke,76,55,45,58,65,77,77,CB,2,24,Holland,Premier League,Brighton,,,,,
1525,Joël Veltman,76,54,49,68,71,79,74,RB,2,32,Holland,Premier League,Brighton,,,,,
1525,Bart Verbruggen,76,78,72,74,81,56,69,GK,1,22,Holland,Premier League,Brighton,78.0,72.0,74.0,69.0,81.0
1525,Arthur Vermeeren,76,75,55,75,77,71,69,CDM,3,19,Belgium,Bundesliga,RB Leipzig,,,,,
1525,Jannik Vestergaard,76,32,48,63,54,75,83,CB,2,32,Denmark,Premier League,Leicester City,,,,,
1525,Kevin Volland,76,70,78,76,76,46,79,ST,3,32,Germany,Bundesliga,Union Berlin,,,,,
1525,Kyle Walker-Peters,76,75,47,68,74,73,71,RB,3,27,England,Premier League,Southampton,,,,,
1525,Adam Webster,76,54,31,61,68,77,76,CB,2,29,England,Premier League,Brighton,,,,,
1525,Danny Welbeck,76,54,76,70,76,42,71,ST,3,33,England,Premier League,Brighton,,,,,
1525,Timon Wellenreuther,76,77,75,69,76,53,75,GK,1,28,Germany,Eredivisie,Feyenoord,77.0,75.0,69.0,75.0,76.0
1525,Neco Williams,76,74,46,68,73,74,68,RB,2,23,Wales,Premier League,Nott'm Forest,,,,,
1525,Harry Winks,76,57,60,76,77,70,68,CDM,3,28,England,Premier League,Leicester City,,,,,
1525,Chris Wood,76,49,78,61,68,40,79,ST,2,32,New Zealand,Premier League,Nott'm Forest,,,,,
1525,Zaydou Youssouf,76,70,65,73,79,70,80,CM,3,25,France,Liga Portugal,FC Famalicão,,,,,
1525,Rodrigo Zalazar,76,78,77,73,78,66,72,CM,3,25,Uruguay,Liga Portugal,SC Braga,,,,,
1525,Michael Zetterer,76,76,72,81,76,41,73,GK,1,29,Germany,Bundesliga,SV Werder Bremen,76.0,72.0,81.0,73.0,76.0
1525,Adem Zorgane,76,55,71,77,74,69,83,CM,3,24,Algeria,1A Pro League,Sp. Charleroi,,,,,
1525,Oleksandr Zubkov,76,83,72,69,76,28,63,RM,4,28,Ukraine,Ukrayina Liha,Shakhtar Donetsk,,,,,
1888,Yunis Abdelhamid,75,32,33,57,62,76,78,CB,3,36,Morocco,Ligue 1 McDonald's,AS Saint-Étienne,,,,,
1888,Laurent Abergel,75,65,50,69,72,71,75,CDM,3,31,France,Ligue 2 BKT,FC Lorient,,,,,
1888,Zakaria Aboukhlal,75,84,72,69,75,41,75,RM,4,24,Morocco,Ligue 1 McDonald's,Toulouse FC,,,,,
1888,Ché Adams,75,79,76,62,74,40,76,ST,3,28,Scotland,Serie A Enilive,Torino,,,,,
1888,Elijah Adebayo,75,74,72,53,70,45,80,ST,3,26,England,EFL Championship,Luton Town,,,,,
1888,Ola Aina,75,89,60,69,74,70,74,LB,3,27,Nigeria,Premier League,Nott'm Forest,,,,,
1888,Firas Al Birekan,75,76,73,54,70,30,72,ST,3,24,Saudi Arabia,ROSHN Saudi League,Al Ahli,,,,,
1888,Musa Al Tamari,75,89,69,67,80,38,58,RM,3,27,Jordan,Ligue 1 McDonald's,Montpellier,,,,,
1888,Oberdan,75,82,63,67,73,70,76,CDM,3,29,Brazil,K League 1,Pohang Steelers,,,,,
1888,Gastón Álvarez,75,75,27,59,65,76,75,CB,2,24,Uruguay,ROSHN Saudi League,Al Qadisiyah,,,,,
1888,Juan Cruz,75,73,40,62,64,73,73,LB,2,32,Spain,LALIGA EA SPORTS,CA Osasuna,,,,,
1888,Samu,75,77,71,72,79,59,65,CM,3,28,Portugal,Liga Portugal,Vitória SC,,,,,
1888,Mohamed Amoura,75,93,77,62,77,46,55,ST,3,24,Algeria,Bundesliga,VfL Wolfsburg,,,,,
1888,Ethan Ampadu,75,68,51,64,69,76,77,CB,2,24,Wales,EFL Championship,Leeds United,,,,,
1888,Nordin Amrabat,75,78,68,74,76,55,86,RM,3,37,Morocco,Hellas Liga,AEK Athens,,,,,
1888,Elliot Anderson,75,72,66,72,79,69,77,CM,3,21,Scotland,Premier League,Nott'm Forest,,,,,
1888,Houssem Aouar,75,64,68,75,79,64,63,CM,4,26,Algeria,ROSHN Saudi League,Al Ittihad,,,,,
1888,Claudio Aquino,75,75,75,75,78,45,72,CAM,4,33,Argentina,Primera División,Vélez Sarsfield,,,,,
1888,Cameron Archer,75,77,75,59,74,25,68,ST,3,22,England,Premier League,Southampton,,,,,
1888,Copete,75,57,33,54,57,77,70,CB,2,24,Spain,LALIGA EA SPORTS,RCD Mallorca,,,,,
1888,Adam Armstrong,75,77,76,66,73,35,68,ST,3,27,England,Premier League,Southampton,,,,,
1888,Kristjan Asllani,75,66,61,74,74,70,69,CDM,2,22,Albania,Serie A Enilive,Lombardia FC,,,,,
1888,Jordan Ayew,75,71,73,71,78,57,74,RW,4,33,Ghana,Premier League,Leicester City,,,,,
1888,Kaan Ayhan,75,59,53,73,69,77,77,RB,3,29,Turkey,Trendyol Süper Lig,Galatasaray,,,,,
1888,Iddrisu Baba,75,61,64,66,68,71,76,CDM,2,28,Ghana,LALIGA HYPERMOTION,UD Almería,,,,,
1888,Cédric Bakambu,75,77,74,66,72,36,62,ST,3,33,Congo DR,LALIGA EA SPORTS,Real Betis,,,,,
1888,Dilane Bakwa,75,85,68,70,78,30,62,RM,3,22,France,Ligue 1 McDonald's,Strasbourg,,,,,
1888,Michel Ange Balikwisha,75,82,69,71,76,53,65,LM,4,23,Belgium,1A Pro League,Royal Antwerp FC,,,,,
1888,Adam Bareiro,75,71,73,57,72,39,78,ST,3,28,Paraguay,Libertadores,River Plate,,,,,
1888,Kike Barja,75,76,67,69,76,35,59,RM,3,27,Spain,LALIGA EA SPORTS,CA Osasuna,,,,,
1888,Barrenetxea,75,78,72,69,78,24,46,LW,3,22,Spain,LALIGA EA SPORTS,Real Sociedad,,,,,
1888,Riechedly Bazoer,75,67,68,74,75,74,74,CB,3,27,Holland,Eredivisie,AZ,,,,,
1888,Jean-Ricner Bellegarde,75,81,63,73,79,69,72,CM,3,26,France,Premier League,Wolves,,,,,
1888,Tomás Belmonte,75,68,65,66,73,73,79,CDM,3,26,Argentina,Sudamericana,Boca Juniors,,,,,
1888,Lucas Beltrán,75,72,76,68,76,46,77,ST,3,23,Argentina,Serie A Enilive,Fiorentina,,,,,
1888,Adrián Bernabé,75,79,70,74,78,67,65,CAM,3,23,Spain,Serie A Enilive,Parma,,,,,
1888,Juan Bernat,75,70,64,76,80,75,53,LB,3,31,Spain,LALIGA EA SPORTS,Villarreal CF,,,,,
1888,Jaka Bijol,75,59,59,65,61,75,77,CB,2,25,Slovenia,Serie A Enilive,Udinese,,,,,
1888,Andre Blake,75,74,70,71,77,45,78,GK,1,33,Jamaica,MLS,Philadelphia,74.0,70.0,71.0,78.0,77.0
1888,Artem Bondarenko,75,75,69,71,75,63,64,CAM,3,24,Ukraine,Ukrayina Liha,Shakhtar Donetsk,,,,,
1888,Fabio Borini,75,72,75,72,76,46,71,LW,3,33,Italy,Serie BKT,Sampdoria,,,,,
1888,Conor Bradley,75,82,59,66,73,70,72,RB,3,21,Northern Ireland,Premier League,Liverpool,,,,,
1888,Alberto Brignoli,75,72,72,78,77,44,79,GK,1,33,Italy,Hellas Liga,AEK Athens,72.0,72.0,78.0,79.0,77.0
1888,Marius Bülter,75,84,76,68,73,48,76,LM,3,31,Germany,Bundesliga,TSG Hoffenheim,,,,,
1888,Javier Burrai,75,75,72,71,75,44,73,GK,1,33,Ecuador,Libertadores,Barcelona SC,75.0,72.0,71.0,73.0,75.0
1888,Jamie Bynoe-Gittens,75,90,66,62,82,26,55,LM,4,20,England,Bundesliga,Borussia Dortmund,,,,,
1888,Tom Cairney,75,52,72,78,75,63,65,CM,3,33,Scotland,Premier League,Fulham,,,,,
1888,Duje Ćaleta-Car,75,59,39,57,59,74,78,CB,2,27,Croatia,Ligue 1 McDonald's,OL,,,,,
1888,Sergi Cardona,75,81,43,64,68,73,74,LB,3,25,Spain,LALIGA EA SPORTS,Villarreal CF,,,,,
1888,Vitinha,75,73,75,63,75,32,79,ST,3,24,Portugal,Serie A Enilive,Genoa,,,,,
1888,Jean-Charles Castelletto,75,68,32,51,63,76,76,CB,2,29,Cameroon,Ligue 1 McDonald's,FC Nantes,,,,,
1888,Alessio Castro-Montes,75,75,69,73,73,72,71,RM,3,27,Belgium,1A Pro League,R. Union St.-G.,,,,,
1888,Santi Cazorla,75,53,74,81,78,61,56,CM,4,39,Spain,LALIGA HYPERMOTION,R. Oviedo,,,,,
1888,Ricardo Batista,75,75,74,73,75,38,77,GK,1,37,Portugal,Liga Portugal,Casa Pia AC,75.0,74.0,73.0,77.0,75.0
1888,Zeki Çelik,75,71,59,69,70,73,76,RB,3,27,Turkey,Serie A Enilive,AS Roma,,,,,
1888,Edwuin Cetré,75,87,72,67,78,41,69,LM,3,26,Colombia,Libertadores,Estudiantes,,,,,
1888,Fedor Chalov,75,76,75,70,74,33,63,ST,3,26,Russia,Hellas Liga,PAOK FC,,,,,
1888,Tomás Chancalay,75,84,72,70,79,40,62,LM,4,25,Argentina,MLS,New England,,,,,
1888,Conor Chaplin,75,84,74,70,76,46,64,CAM,3,27,England,Premier League,Ipswich,,,,,
1888,Rayan Cherki,75,68,67,74,84,21,61,CAM,5,21,France,Ligue 1 McDonald's,OL,,,,,
1888,Joris Chotard,75,64,57,73,75,71,68,CDM,3,22,France,Ligue 1 McDonald's,Montpellier,,,,,
1888,Jack Clarke,75,83,72,68,76,40,60,LM,4,23,England,Premier League,Ipswich,,,,,
1888,Saúl Coco,75,85,56,58,60,76,78,CB,2,25,Equatorial Guinea,Serie A Enilive,Torino,,,,,
1888,Massimo Coda,75,57,76,60,71,25,66,ST,3,35,Italy,Serie BKT,Sampdoria,,,,,
1888,Nathan Collins,75,61,30,55,62,76,76,CB,2,23,Republic of Ireland,Premier League,Brentford,,,,,
1888,Santiago Colombatto,75,74,70,75,72,70,77,CDM,3,27,Argentina,LALIGA HYPERMOTION,R. Oviedo,,,,,
1888,Santi Comesaña,75,57,69,68,73,76,74,CM,3,27,Spain,LALIGA EA SPORTS,Villarreal CF,,,,,
1888,Andrea Consigli,75,76,73,70,75,40,77,GK,1,37,Italy,Serie BKT,Sassuolo,76.0,73.0,70.0,77.0,75.0
1888,Maxwel Cornet,75,85,75,70,76,67,70,LM,3,27,Côte d'Ivoire,Premier League,Southampton,,,,,
1888,Eric Curbelo,75,84,38,66,67,75,81,CB,2,30,Spain,LALIGA HYPERMOTION,R. Sporting,,,,,
1888,Tomáš Čvančara,75,77,73,66,72,25,77,ST,2,24,Czech Republic,Bundesliga,M'gladbach,,,,,
1888,Danilo D'Ambrosio,75,59,56,66,68,77,72,CB,3,36,Italy,Serie A Enilive,Monza,,,,,
1888,José Fonte,75,31,46,62,60,76,79,CB,2,40,Portugal,Liga Portugal,Casa Pia AC,,,,,
1888,Otávio,75,68,29,41,58,75,79,CB,2,22,Brazil,Liga Portugal,FC Porto,,,,,
1888,Andrew,75,76,73,74,77,45,72,GK,1,23,Brazil,Liga Portugal,Gil Vicente,76.0,73.0,74.0,72.0,77.0
1888,Bobby De Cordova-Reid,75,74,72,72,76,60,63,RM,3,31,Jamaica,Premier League,Leicester City,,,,,
1888,Aderllan Santos,75,59,52,52,57,76,81,CB,2,35,Brazil,Liga Portugal,Rio Ave FC,,,,,
1888,Enrico Delprato,75,81,54,63,69,72,77,RB,2,24,Italy,Serie A Enilive,Parma,,,,,
1888,Moussa Dembélé,75,71,74,62,71,30,80,ST,3,28,France,ROSHN Saudi League,Ettifaq FC,,,,,
1888,Leander Dendoncker,75,53,69,75,70,76,78,CM,2,29,Belgium,1A Pro League,RSC Anderlecht,,,,,
1888,Arthur Desmas,75,75,72,72,76,36,73,GK,1,30,France,Ligue 1 McDonald's,Havre AC,75.0,72.0,72.0,73.0,76.0
1888,Federico Di Francesco,75,80,69,73,77,52,70,LW,4,30,Italy,Serie BKT,Palermo,,,,,
1888,Amad Diallo,75,85,71,68,80,25,50,RM,4,22,Côte d'Ivoire,Premier League,Man Utd,,,,,
1888,Krépin Diatta,75,89,69,66,78,50,67,RM,4,25,Senegal,Ligue 1 McDonald's,AS Monaco,,,,,
1888,Mory Diaw,75,77,74,73,78,43,72,GK,1,31,Senegal,Ligue 2 BKT,Clermont Foot 63,77.0,74.0,73.0,72.0,78.0
1888,Matías Dituro,75,74,72,77,77,38,74,GK,1,37,Argentina,LALIGA HYPERMOTION,Elche CF,74.0,72.0,77.0,74.0,77.0
1888,Alexander Domínguez,75,76,72,71,77,34,75,GK,1,37,Ecuador,Libertadores,LDU Quito,76.0,72.0,71.0,75.0,77.0
1888,Niklas Dorsch,75,70,72,73,78,71,72,CDM,3,26,Germany,Bundesliga,Heidenheim,,,,,
1888,Mateus,75,82,74,71,76,53,69,RW,4,30,Brazil,ROSHN Saudi League,Al Taawoun,,,,,
1888,Abdoulaye Doucouré,75,57,78,72,74,77,82,CAM,3,31,Mali,Premier League,Everton,,,,,
1888,Flynn Downes,75,64,53,71,73,71,75,CDM,2,25,England,Premier League,Southampton,,,,,
1888,Aleksandar Dragović,75,54,51,63,64,77,75,CB,2,33,Austria,Ö. Bundesliga,FK Austria Wien,,,,,
1888,Bartłomiej Drągowski,75,77,71,70,77,37,72,GK,1,27,Poland,Hellas Liga,Panathinaikos,77.0,71.0,70.0,72.0,77.0
1888,Radu Drăgușin,75,73,37,53,65,75,75,CB,2,22,Romania,Premier League,Spurs,,,,,
1888,Léo Duarte,75,57,36,49,60,76,78,CB,2,28,Brazil,Trendyol Süper Lig,Başakşehir,,,,,
1888,Odsonne Edouard,75,73,75,67,76,45,69,ST,4,26,France,Premier League,Leicester City,,,,,
1888,Maximilian Eggestein,75,63,60,69,71,72,74,CDM,3,27,Germany,Bundesliga,SC Freiburg,,,,,
1888,Magnus Wolff Eikrem,75,65,71,76,74,33,50,CAM,3,34,Norway,Eliteserien,Molde FK,,,,,
1888,Neil El Aynaoui,75,63,61,70,74,66,71,CM,3,23,Morocco,Ligue 1 McDonald's,RC Lens,,,,,
1888,Jawad El Yamiq,75,86,50,53,63,75,80,CB,2,32,Morocco,ROSHN Saudi League,Al Wehda,,,,,
1888,Embarba,75,78,74,73,76,42,68,LM,4,32,Spain,LALIGA EA SPORTS,Rayo Vallecano,,,,,
1888,Cristian Espinoza,75,84,70,69,75,43,66,RM,4,29,Argentina,MLS,SJ Earthquakes,,,,,
1888,Giovanni Fabbian,75,67,72,72,75,68,63,CM,3,21,Italy,Serie A Enilive,Bologna,,,,,
1888,Frank Fabra,75,80,68,74,78,68,76,LB,3,33,Colombia,Sudamericana,Boca Juniors,,,,,
